source	target
280	1718
280	1913
284	363
285	289
285	574
286	1586
289	923
289	1018
289	1245
291	359
291	437
291	503
291	831
291	1613
292	1698
294	405
294	847
294	888
294	949
294	1175
294	1201
294	1409
294	1504
294	2163
294	2322
996	866
996	2314
296	1134
298	335
298	475
298	686
298	969
298	1098
300	383
300	534
300	717
301	886
302	865
302	1126
302	1444
302	1536
304	421
306	318
318	1491
308	569
308	1477
308	1781
310	449
310	1242
311	430
311	546
311	672
317	403
317	1129
317	1371
317	1865
319	529
321	1457
321	1506
321	374
321	418
321	928
1457	1273
1457	1467
1457	1506
1457	1934
1506	1189
1506	1509
323	324
323	328
324	325
324	328
324	327
325	328
328	327
327	869
329	363
330	416
330	1604
330	1709
333	1745
333	2496
335	2442
336	1959
338	486
342	461
343	355
343	359
343	367
343	528
343	635
343	821
343	974
345	1101
345	2053
346	1814
346	2247
348	964
348	2441
348	1283
964	425
964	1387
2441	1459
2441	2182
2441	2450
2441	2530
349	507
350	378
350	660
378	1085
378	769
351	1219
351	431
351	1034
1219	954
1219	442
1219	1322
1219	2031
352	1581
352	1300
352	575
352	659
352	930
352	1368
352	1442
1581	1300
1581	1612
1581	1743
1581	1778
1581	1974
1581	2249
1300	575
1300	1974
353	2466
354	355
354	406
354	1231
354	1758
354	1784
354	2014
355	535
356	1959
359	1253
359	1477
361	1352
362	953
362	1138
362	1964
362	2191
364	2118
2118	1858
2118	2281
2118	2493
365	2198
2198	1976
366	434
367	444
367	903
368	394
368	538
368	951
370	1726
370	714
370	418
370	1255
1726	1344
1726	416
714	400
838	384
838	620
838	1177
838	1721
374	410
410	379
410	425
375	638
376	402
376	617
376	1647
402	617
402	896
402	1041
402	1178
402	1416
402	1710
377	447
377	1417
1085	625
1085	878
380	618
380	882
380	1230
380	1407
380	1578
380	1705
380	1714
381	415
381	492
381	607
381	643
381	954
381	1021
381	1183
381	1233
381	1312
381	1731
381	1857
381	1934
381	2141
381	2174
383	401
384	406
384	511
384	810
384	1104
384	1164
384	1588
384	2361
406	451
406	849
406	1036
406	1049
406	1362
406	1375
406	1402
406	1953
385	426
385	598
385	1251
385	1472
386	387
386	592
387	537
388	389
388	391
388	392
388	630
388	666
388	683
388	710
388	816
388	909
388	998
388	1132
388	1890
389	1028
389	1725
389	2178
390	630
390	533
390	539
390	1521
630	1165
630	1408
391	586
391	673
391	794
391	1031
391	1549
392	642
392	939
393	1717
393	1817
393	584
393	597
1717	1597
1717	972
1717	1944
1817	972
1817	1803
1817	1859
394	637
394	861
394	941
394	1351
394	1907
396	397
396	591
396	742
397	458
397	725
397	1215
397	1626
397	1814
397	1927
397	2130
398	463
398	1030
399	446
399	474
399	547
400	2070
401	1291
401	1298
403	894
403	960
404	2425
404	633
404	971
404	1035
404	1802
2425	633
2425	2401
2425	2413
405	452
405	606
405	1402
405	1698
407	532
407	702
407	1285
407	1355
407	2248
408	1911
1911	495
1911	1056
409	470
409	1542
409	1610
413	814
413	1731
415	463
415	1759
416	652
416	795
417	429
417	478
417	1400
418	431
419	899
419	1162
419	1525
421	440
421	899
422	430
422	485
422	786
422	1013
422	1237
422	1238
422	1708
422	1790
422	1972
430	789
430	2094
423	2442
423	515
423	1341
2442	1419
424	1296
424	1228
1296	1060
1296	1335
1296	1794
1296	2030
425	501
425	578
426	691
426	1251
427	507
427	942
428	2472
2472	1731
431	482
432	471
432	579
432	729
432	1053
432	1113
432	1147
432	1167
432	1214
432	1372
432	1528
432	1623
434	1534
435	1106
435	1211
435	1404
435	1621
436	536
436	976
436	1685
437	649
437	1736
437	1993
439	701
440	1582
441	1352
441	460
441	1593
441	1804
441	2177
442	487
442	612
443	550
443	756
443	1166
444	504
444	688
444	726
444	1091
445	529
445	653
445	681
445	764
445	861
445	1709
447	483
447	558
447	609
447	656
447	772
447	784
447	1241
447	1412
448	577
448	1011
449	599
449	902
449	1550
451	500
451	626
451	740
451	1002
451	1097
451	1120
451	1362
451	1466
451	1475
451	1953
452	685
452	1252
453	526
453	721
453	1009
453	1725
453	1919
455	669
455	475
455	758
669	557
669	819
456	898
457	885
457	460
457	651
885	1212
885	479
885	1267
885	2274
458	504
458	937
459	696
459	1144
459	1280
459	2081
460	479
461	1267
461	1674
461	1757
462	2534
464	1338
1338	984
1338	1522
1338	1423
1338	1446
1338	1484
465	466
465	501
466	781
467	1967
467	2537
468	534
468	554
468	776
468	1515
470	1672
471	519
471	1116
471	1302
471	1810
472	694
473	488
473	621
473	657
473	663
473	735
473	958
473	1196
473	1421
473	1788
473	2277
474	512
474	587
476	497
476	502
476	873
479	684
479	1501
479	1620
479	2372
480	592
480	814
481	514
484	1460
484	1529
485	488
